"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"23",114,10,630,0,5,3,-4.5,0.288403689861298,7,1,9.12227149270705,49.955388590112
"24",114,10,631,0,5,3,-8.25,0.75550788640976,8,1,9.12647271943187,49.9604386514266
"25",119,10,630,0,5,3,-12.75,1.36105477809906,6,1,9.14638175331759,49.9217143383328
"26",127,10.1000003814697,636,0,5.48523712158203,3,-21.25,2.86111068725586,4,1,9.14825780873276,49.8410347005318
"27",116,10.1000003814697,629,598.7548828125,5.02289056777954,3,-4.625,0.338997900485992,7,1,9.14890489813274,49.8945292061602
"28",124,10.1000003814697,635,0,5.65222883224487,3,-7.125,0.217698976397514,3,1,9.15201300052632,49.8355786663599
"29",130,10,635,926.878051757812,5.53270769119263,3,-3.125,0.604541897773743,7,1,9.15397010884124,49.8157441841421
"30",133,9.89999961853027,635,1512.61364746094,5.79650592803955,3,-23,0.832381725311279,5,1,9.15922697734716,49.9844012730784
"31",126,10.1000003814697,634,599.476379394531,5.85991668701172,3,-11.125,1.40814304351807,8,1,9.16185715819359,49.8367554821824
"32",123,10,632,599.064208984375,6.08224821090698,3,-15.625,2.1696343421936,6,1,9.16943152761254,49.8694127890619
"33",284,9.10000038146973,705,2780.75073242188,6.35959386825562,3,22.625,2.44920706748962,4,1,9.17884209384231,50.0395534760191
"34",181,9.69999980926514,651,3128.80737304688,6.44621515274048,3,-4.625,3.95769691467285,8,1,9.18366813654884,49.9909594048
"35",258,9.39999961853027,692,1796.57397460938,6.50043821334839,3,20.5,1.74753105640411,7,1,9.18831274602629,49.8911846248219
"36",258,9.39999961853027,692,1796.57397460938,6.50043821334839,3,20.5,1.74753105640411,7,1,9.18855368863355,49.8872787532167
"37",258,9.39999961853027,692,1796.57397460938,6.50043821334839,3,20.5,1.74753105640411,7,1,9.18869800841156,49.8903037187384
"38",195,9.69999980926514,659,3031.88012695312,6.2140040397644,3,-20.75,1.07597613334656,8,1,9.19291057711672,49.8241581950391
"39",178,10,640,3137.66674804688,6.05465221405029,3,-27.125,1.15241134166718,1,1,9.19334555950171,49.8264888055615
"40",264,9.30000019073486,706,3032.20434570312,6.56722402572632,3,9.25,3.87082719802856,7,1,9.20596465480819,49.8089257245054
"41",299,9.19999980926514,709,2572.53686523438,6.71726274490356,3,31.125,3.33147192001343,8,1,9.20727393461882,49.8004233886591
"42",285,9.30000019073486,704,926.866027832031,6.34355926513672,3,58.25,5.29730415344238,4,1,9.21035286030248,49.7364435209989
"43",279,9.19999980926514,705,3526.05419921875,6.65561532974243,3,12.375,1.51343560218811,2,1,9.21159150327036,49.8101494097705
"44",251,9.39999961853027,686,4542.22314453125,6.7116584777832,3,-5.375,1.95240700244904,6,1,9.21275670454545,49.9179609766962
"45",279,9.19999980926514,705,3526.05419921875,6.65561532974243,3,12.375,1.51343560218811,2,1,9.21331141897112,49.816251752363
"46",300,9.10000038146973,718,3713.46655273438,6.78311681747437,3,26.25,1.73457849025726,8,1,9.21408037392887,49.8449562901481
"47",285,9.19999980926514,705,4194.17041015625,6.54523801803589,3,27.25,5.03811740875244,7,1,9.22068462490561,49.862668176229
"48",277,9.39999961853027,695,3526.49072265625,6.75325727462769,3,-0.375,1.85893702507019,2,1,9.22249874879614,49.8077406868083
"49",314,9.10000038146973,716,4296.42431640625,6.84297561645508,3,25,2.26592779159546,8,1,9.22283637167648,49.8426126457885
"50",135,10.1000003814697,634,0,5.77127599716187,3,-45.5,3.50104641914368,5,1,9.22441762451171,49.7253339665639
"51",265,9.30000019073486,698,4048.65209960938,6.3998646736145,3,11.625,2.97776198387146,2,1,9.22461877949418,49.8107590282311
"52",331,9,724,4793.337890625,6.71785974502563,3,22.5,4.99214887619019,7,1,9.22588431638584,49.8624780453647
"53",255,9.39999961853027,687,5474.78173828125,6.21892404556274,3,11.125,3.2329261302948,5,1,9.22968912420969,49.829279020171
"54",223,9.60000038146973,673,1104.58959960938,5.74807929992676,3,12.875,4.74846792221069,7,1,9.23504256944312,49.7319369630535
"55",351,9.10000038146973,732,601.225952148438,6.31860065460205,3,111.75,8.11099815368652,8,1,9.24074274981443,49.6923346603664
"56",222,9.5,678,5602.77490234375,6.19416999816895,3,-4.375,1.43738877773285,7,1,9.2596265571403,49.8023302728962
"57",132,10.1000003814697,634,0,5.53336477279663,3,-35.75,2.83440637588501,4,1,9.26602166523173,49.7092290267386
"58",388,8.80000019073486,748,1517.15600585938,6.4389910697937,3,42.375,1.70626246929169,3,1,9.2721912795393,49.7574936083373
"59",426,8.60000038146973,775,1517.80432128906,6.37844514846802,3,136.625,2.03609943389893,6,1,9.29279453234554,49.7197769552809
"60",311,9.10000038146973,693,2998.41186523438,7,3,0.125,1.84483313560486,4,1,9.53811785414404,49.8201383257608
"61",153,9.69999980926514,611,597.5166015625,7.00253057479858,2.01193881034851,-25.625,0.826676785945892,5,1,9.57699271156748,49.9943137401171
"62",198,9.5,633,1198.12841796875,6.61493301391602,2,-12.5,0.234918206930161,4,1,9.62473516147782,49.873668209699
"63",279,9.10000038146973,673,2568.3134765625,7.05965948104858,2.06729459762573,-3,1.85266590118408,5,1,9.6411274038349,49.892751116002
"64",262,9.19999980926514,661,2994.2900390625,7,2,-3.5,1.09390318393707,6,1,9.64169091290417,49.8894715437115
"65",160,9.60000038146973,608,0,7.0559720993042,2.03104066848755,-71.625,4.70797824859619,3,1,9.64624227775346,50.0512096087964
"66",286,9,664,4037.681640625,7.62100458145142,3,-4.5,0.211223155260086,7,1,9.65082887585027,49.9781188156761
"67",193,9.60000038146973,608,0,7.41227340698242,2.43093037605286,-37.125,6.37734794616699,7,1,9.65171366316836,50.044972329349
"68",288,9,671,3705.0830078125,7.4244065284729,3,2.5,0.4582878947258,6,1,9.65605583163793,49.9732790861013
"69",330,9,698,5168.98779296875,7.81805181503296,3,18.125,2.05806565284729,8,1,9.65848755869393,49.757090482108
